WOS_number,doc_type,authors,title,source,doi,publication_year,author_keywords,email
WOS:000565631100002,J,"Zhang, HN; Zhang, XP; Yuan, JH",Transition of China's power sector consistent with Paris Agreement into 2050: Pathways and challenges,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.110102,2020,Power sector; Low-carbon transition; 2050 scenarios; Pathways; Challenges; China,
WOS:000565624000009,J,"Man, Y; Li, JG; Hong, MN; Han, YL",Energy transition for the low-carbon pulp and paper industry in China,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.109998,2020,Pulp and paper industry; Life cycle analysis; Greenhouse gas emission; Carbon sink; Mitigation target; Intended nationally determined contribution,
WOS:000565621800002,J,"Milovanoff, A; Posen, ID; Saville, BA; MacLean, HL",Well-to-wheel greenhouse gas implications of mid-level ethanol blend deployment in Canada's light-duty fleet,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.1016/j.rser.2020.110012,2020,Ethanol; Canada; GHG; LCA; Light-duty fleet; Cellulosic; GHG emission target,
WOS:000561603100107,J,"Zhu, WN; Feng, W; Li, XD; Zhang, ZH",Analysis of the embodied carbon dioxide in the building sector: A case of China,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.122438,2020,Embodied carbon dioxide emissions; Process decomposition; Disaggregated input-output model; Building sector,
WOS:000558812000087,J,"Wu, F; Huang, NY; Liu, GJ; Niu, LL; Qiao, Z",Pathway optimization of China's carbon emission reduction and its provincial allocation under temperature control threshold,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2020.111034,2020,Paris agreement; Carbon dioxide emission reduction; Optimal emission path; Quadratic directional distance function model; Quotas allocation; Temperature control threshold,
WOS:000555558600012,J,"de Morais , VTM; Jacovine, LAG; Alves, EBBM; Torres, CMME; Faustino, IS; Franca, LCD; da Rocha, SJSS; Simiqueli, GF; Silva, LB; Alcantara-de la Cruz, R",Growth and survival of potential tree species for carbon-offset in degraded areas from southeast Brazil,ECOLOGICAL INDICATORS,10.1016/j.ecolind.2020.106514,2020,Compensation; Greenhouse gases; Mitigation Restoration,
WOS:000575604200001,J,"Li, X; Dong, DL; Lin, G; Yan, RW; Li, SQ","Water Use for Energy Production and Conversion in Hebei Province, China",FRONTIERS IN ENERGY RESEARCH,10.3389/fenrg.2020.558536,2020,energy production; water requirements; energy-water nexus; Long-range Energy Alternative Planning model; Hebei,
WOS:000571838100001,J,"Wolff, S; Meijer, J; Schulp, CJE; Verburg, PH","Contextualizing local landscape initiatives in global change: a scenario study for the high forest zone, Ghana",REGIONAL ENVIRONMENTAL CHANGE,10.1007/s10113-020-01701-x,2020,Land use competition; West Africa; Scenarios; Cross-scale interactions; Integrated landscape initiatives; Land systems,
MEDLINE:32958940,J,"Lu, Tianguang; Sherman, Peter; Chen, Xinyu; Chen, Shi; Lu, Xi; McElroy, Michael",India's potential for integrating solar and on- and offshore wind power into its energy system.,Nature communications,10.1038/s41467-020-18318-7,2020,,
WOS:000561594800081,J,"Xie, Y; Liu, XR; Chen, Q; Zhang, SH",An integrated assessment for achieving the 2 degrees C target pathway in China by 2030,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.122238,2020,Carbon emissions peak; IMED vertical bar CGE model; NDC (Nationally determined contributions); 2 degrees C target; Co-benefit,
WOS:000570817700001,J,"Oshiro, K; Fujimori, S",Stranded investment associated with rapid energy system changes under the mid-century strategy in Japan,SUSTAINABILITY SCIENCE,10.1007/s11625-020-00862-2,2020,Stranded asset; Climate change mitigation; Mid-century strategy; Electrification; Energy policy; Energy system transformation,
WOS:000571116500001,J,"Tlili, O; Mansilla, C; Robinius, M; Ryberg, DS; Caglayan, DG; Linssen, J; Andre, J; Perez, Y; Stolten, D",Downscaling of future national capacity scenarios of the French electricity system to the regional level,ENERGY SYSTEMS-OPTIMIZATION MODELING SIMULATION AND ECONOMIC ASPECTS,10.1007/s12667-020-00406-8,2020,Land; Ocean; Eligibility; Renewable; France; Regional,
WOS:000576291700001,J,"Charbonnier, SJ; Thouret, JC; Gueugneau, V; Constantinescu, R","New Insights Into the 2070calyrBP Pyroclastic Currents at El Misti Volcano (Peru) From Field Investigations, Satellite Imagery and Probabilistic Modeling",FRONTIERS IN EARTH SCIENCE,10.3389/feart.2020.557788,2020,El Misti volcano; pyroclastic currents; probabilistic modeling; field data acquisition; hazard assessment and mapping,
WOS:000558533200069,J,"Yue, XF; Patankar, N; Decarolis, J; Chiodi, A; Rogan, F; Deane, JP; O'Gallachoir, B",Least cost energy system pathways towards 100% renewable energy in Ireland by 2050,ENERGY,10.1016/j.energy.2020.118264,2020,100% Renewable energy; Electrification; Energy system optimization model; Uncertainty analysis,
WOS:000554920300011,J,"Yan, YM; Zhang, HR; Long, Y; Zhou, XY; Liao, Q; Xu, N; Liang, YT",A factor-based bottom-up approach for the long-term electricity consumption estimation in the Japanese residential sector,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2020.110750,2020,Residential sector; Electricity consumption; Carbon emissions; Bottom-up model; Japan,
WOS:000554920300081,J,"Zhang, WW; Zhao, B; Gu, Y; Sharp, B; Xu, SC; Liou, KN",Environmental impact of national and subnational carbon policies in China based on a multi-regional dynamic CGE model,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2020.110901,2020,Subnational carbon policy; Emissions leakage; Air pollutants; CGE modeling; Mitigation,
